"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Elovl6",1182.77633689082,-0.163609553446627,0.155463891983667,-1.05239584162614,0.292617975752449,0.934810807128823
"Elovl7",1038.92594279805,0.0322986088083935,0.0845207684508497,0.382138134808555,0.702358906902455,0.984689131516049
"Elp1",250.131622705385,0.13409718385197,0.108777263339254,1.23276850083779,0.217662146499638,0.916202349896561
"Elp2",587.432132766109,0.00381244726553089,0.0731097756685005,0.0521468877543485,0.958411652738102,0.999173403522756
"Elp3",551.333937990606,0.0435919344960774,0.0648193639554435,0.672514073511154,0.501256483706825,0.966555493843132
"Elp4",117.43451709696,-0.0168754235785452,0.125063463592564,-0.134934881009873,0.892663360682878,0.993197845838862
"Elp5",304.941762739723,-0.00086536014830205,0.118234429903683,-0.00731901992513516,0.994160319138295,0.999510244881799
"Elp6",44.6547751995419,-0.094752199992867,0.207881709002019,-0.455798638791961,0.648534783054971,0.981269046331636
"Emb",506.162692869613,-0.0680972479155959,0.079283333414436,-0.858910000158958,0.390390171781015,0.950085609901244
"Emc1",258.721819483774,0.213976581799394,0.0896867578445259,2.38582135135632,0.0170410269372507,0.576629637661695
"Emc10",1174.44335656137,-0.0702077359034908,0.0580719307899127,-1.20897884655294,0.226670972312452,0.918281566350948
"Emc2",499.069734737415,-0.0373488228416225,0.0718785192720231,-0.519610353967873,0.603335180051523,0.975692449038252
"Emc3",876.153653508361,-0.0776267999887184,0.0537450529094272,-1.44435247127838,0.148639852956155,0.879213604559001
"Emc4",511.308832877817,-0.00274575203546932,0.0772234142927302,-0.0355559523056183,0.971636431062262,0.999198642171863
"Emc6",665.121151546981,-0.106873505826548,0.0605888689339694,-1.76391320232468,0.0777465937352439,0.795606326019198
"Emc7",1151.76927884093,-0.0482534149680711,0.0411688702103042,-1.172084993384,0.241162934222961,0.920179513439126
"Emc8",399.259821761806,-0.0461837397364342,0.120943290953175,-0.381862767024548,0.702563158809997,0.984689131516049
"Emc9",100.649174118886,0.0243115678036957,0.141826982955489,0.171417083668244,0.863895822762391,0.990097116112228
"Emcn",839.189439499137,-0.132329851926335,0.0821285477153987,-1.61125279342452,0.107124635257496,0.846287848007621
"Emd",224.37676475021,0.0498773735427888,0.0925745992440829,0.538780334455261,0.590038434545404,0.974290596431217
"Eme1",3.07442974796004,0.0615935666125943,0.834974732140098,0.0737669826902734,0.94119579941771,0.998587581976705
"Eme2",280.156796621371,0.162072895528899,0.134516024765465,1.20485938988667,0.228257588189546,0.920179513439126
"Emg1",424.330231858861,-0.104652372037058,0.0745659031360525,-1.40348829204295,0.16047128085251,0.890266848670279
"Emid1",94.2629620267923,-0.107714007725203,0.128937405269402,-0.835397668350353,0.403493842201443,0.951011666213544
"Emilin1",715.224934027699,0.0107946602146508,0.0993733625595247,0.108627301488211,0.91349810542975,0.995900507627626
"Emilin2",17.0183937437313,0.148177780457094,0.447808082184111,0.330895725986859,0.74072325046093,0.986253538556104
"Emilin3",0.134018595784997,-0.495536023535512,3.11653965008542,-0.15900199553756,0.873667301622549,NA
"Eml1",253.85309751963,-0.247691120768984,0.123059391752097,-2.01277706026662,0.0441380882556973,0.713289243193207
"Eml2",408.50047291678,-0.0492013245915035,0.0979998793963285,-0.502054950420141,0.615628867987198,0.977640353518727
"Eml3",319.500418480022,0.270600677733179,0.0958872103347107,2.82207269132767,0.00477143607809164,0.33481263470807
"Eml4",240.336995317445,0.145922231428863,0.0897624720606424,1.6256485375122,0.10402444350421,0.845313142979979
"Eml5",195.976066712061,0.0867920419534592,0.14680051101749,0.591224385745622,0.554370085603869,0.971581996744209
"Eml6",154.695161480602,0.0317988151621137,0.178778847918304,0.177866764062853,0.858827613033736,0.990097116112228
"Emp1",562.213791783628,0.0241776848763904,0.112865410117648,0.214216958510035,0.830377872049564,0.988549532261272
"Emp2",251.447522433681,-0.0247173949847757,0.0893956702296764,-0.276494319258097,0.782168422233236,0.98727507335246
"Emp3",63.6223647303962,0.185237873288172,0.147234778508691,1.25811221482047,0.208351176418698,0.910858245739865
"Emsy",326.582575401761,0.127830073121561,0.150840961811266,0.847449337279506,0.396744714444556,0.950856858718253
"Emx1",552.387132198444,0.097891493886526,0.13378443823296,0.731710617314596,0.464345214622019,0.960403815887998
